#,Name,Signal description,RT (min),Area,Area%,Height,Height%,Amount,Concentration,Start time (min),End time (min)
1,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.112,748472.567,1.970,227220.909,4.03,,,0.088,0.149
2,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.164,846349.476,2.228,287781.042,5.10,,,0.149,0.202
3,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.219,934372.581,2.460,316157.917,5.61,,,0.202,0.253
4,,"* DAD1B,Sig=215,4  Ref=off [s]",0.222,62.257,1.987,21.608,3.03,,,0.123,0.262
5,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.276,961857.497,2.532,418921.158,7.43,,,0.253,0.297
6,,"* DAD1B,Sig=215,4  Ref=off [s]",0.296,57.099,1.822,11.913,1.67,,,0.263,0.366
7,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.317,796984.975,2.098,608043.184,10.78,,,0.297,0.341
8,,"* DAD1B,Sig=215,4  Ref=off [s]",0.417,52.801,1.685,8.277,1.16,,,0.366,0.488
9,,"* DAD1B,Sig=215,4  Ref=off [s]",0.490,21.601,0.689,4.821,0.68,,,0.488,0.635
10,,* MS1 -TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.650,874512.324,48.881,112686.869,47.74,,,0.588,0.747
11,peak@3.515min,"* DAD1B,Sig=215,4  Ref=off [s]",3.517,1839.659,58.705,410.387,57.58,,,3.230,4.111
12,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.640,4303675.223,11.328,542491.879,9.62,,,3.527,3.790
13,peak@4.854min,"* DAD1B,Sig=215,4  Ref=off [s]",4.854,1100.309,35.112,255.778,35.88,,,4.623,5.380
14,,* MS1 -TIC SCAN ESI Frag=Ramp Gain=1.0 [s],4.963,914557.048,51.119,123379.071,52.26,,,4.797,5.047
15,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],4.966,29398233.773,77.384,3238908.735,57.43,,,4.829,5.169
16,peak@5.416min,"* DAD1B,Sig=215,4  Ref=off [s]",,,,,,,,,
