#,Name,Signal description,RT (min),Area,Area%,Height,Height%,Amount,Concentration,Start time (min),End time (min)
1,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.129,1027805.956,4.227,238483.288,4.08,,,0.016,0.151
2,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.185,811180.198,3.336,290743.758,4.97,,,0.151,0.204
3,,"* DAD1B,Sig=215,4  Ref=off [s]",0.222,64.660,2.878,21.703,4.27,,,0.113,0.259
4,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.261,1080801.242,4.444,367122.394,6.28,,,0.246,0.297
5,,"* DAD1B,Sig=215,4  Ref=off [s]",0.295,45.744,2.036,10.474,2.06,,,0.262,0.360
6,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.317,888108.609,3.652,710684.774,12.16,,,0.297,0.341
7,,"* DAD1B,Sig=215,4  Ref=off [s]",0.418,50.159,2.233,7.119,1.40,,,0.360,0.502
8,,"* DAD1B,Sig=215,4  Ref=off [s]",0.549,12.094,0.538,2.340,0.46,,,0.502,0.610
9,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.552,1640676.122,6.747,839991.481,14.37,,,0.530,0.572
10,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.580,788663.020,3.243,638227.404,10.92,,,0.572,0.594
11,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.614,1350401.172,5.553,502965.313,8.60,,,0.594,0.643
12,peak@3.515min,"* DAD1B,Sig=215,4  Ref=off [s]",3.512,1926.591,85.756,428.309,84.21,,,3.299,3.998
13,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.628,3832281.272,15.759,552831.331,9.46,,,3.529,3.769
14,peak@5.416min,"* DAD1B,Sig=215,4  Ref=off [s]",5.424,147.343,6.559,38.677,7.60,,,5.006,5.623
15,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.533,12898048.438,53.039,1705355.524,29.17,,,5.339,5.715
16,,* MS1 -TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.545,1462012.146,100.000,186501.071,100.00,,,5.423,5.686
