#,Name,Signal description,RT (min),Area,Area%,Height,Height%,Amount,Concentration,Start time (min),End time (min)
1,,"* DAD1B,Sig=215,4  Ref=off [s]",0.222,66.875,3.129,21.715,4.64,,,0.106,0.259
2,,"* DAD1B,Sig=215,4  Ref=off [s]",0.295,48.449,2.267,11.010,2.35,,,0.262,0.357
3,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.318,898637.988,11.523,721743.520,37.01,,,0.292,0.341
4,,"* DAD1B,Sig=215,4  Ref=off [s]",0.418,79.234,3.707,9.143,1.95,,,0.357,0.525
5,,"* DAD1B,Sig=215,4  Ref=off [s]",0.553,20.450,0.957,5.436,1.16,,,0.525,0.589
6,,"* DAD1B,Sig=215,4  Ref=off [s]",0.754,39.716,1.858,1.974,0.42,,,0.589,0.857
7,peak@3.515min,"* DAD1B,Sig=215,4  Ref=off [s]",3.516,1852.387,86.676,411.240,87.80,,,3.286,4.088
8,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.623,2492344.331,31.960,428685.933,21.98,,,3.511,3.693
9,peak@5.416min,"* DAD1B,Sig=215,4  Ref=off [s]",5.417,30.041,1.406,7.872,1.68,,,5.226,5.556
10,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.516,3467062.602,44.459,564004.570,28.92,,,5.437,5.612
11,,* MS1 -TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.530,699288.190,100.000,78461.685,100.00,,,5.383,5.708
12,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.624,940309.579,12.058,235925.259,12.10,,,5.612,5.781
