#,Name,Signal description,RT (min),Area,Area%,Height,Height%,Amount,Concentration,Start time (min),End time (min)
1,,"* DAD1B,Sig=215,4  Ref=off [s]",0.222,91.711,4.162,22.988,4.82,,,0.033,0.260
2,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.278,610068.582,9.616,282999.923,13.62,,,0.254,0.295
3,,"* DAD1B,Sig=215,4  Ref=off [s]",0.295,45.602,2.070,10.859,2.28,,,0.262,0.353
4,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.317,836340.693,13.182,664081.593,31.97,,,0.295,0.341
5,,"* DAD1B,Sig=215,4  Ref=off [s]",0.418,78.166,3.547,8.642,1.81,,,0.353,0.537
6,,"* DAD1B,Sig=215,4  Ref=off [s]",0.678,32.817,1.489,1.912,0.40,,,0.537,0.765
7,peak@3.515min,"* DAD1B,Sig=215,4  Ref=off [s]",3.516,1929.565,87.569,426.077,89.40,,,3.073,4.378
8,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.634,2769394.439,43.650,535703.842,25.79,,,3.513,3.679
9,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.688,827863.064,13.048,272194.504,13.10,,,3.679,3.752
10,peak@4.854min,"* DAD1B,Sig=215,4  Ref=off [s]",4.867,25.627,1.163,6.091,1.28,,,4.633,4.986
11,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],4.988,1300852.305,20.504,322120.882,15.51,,,4.922,5.031
12,peak@5.416min,"* DAD1B,Sig=215,4  Ref=off [s]",,,,,,,,,
